Word,CEFR_Level,Frequency,Years_Count,Years_Appeared,Source
Library,Unclassified,31,1,2026,2026.txt
tea,Unclassified,23,1,2026,2026.txt
people,Unclassified,22,1,2026,2026.txt
youtube,Unclassified,22,1,2026,2026.txt
People,Unclassified,20,1,2026,2026.txt
first,Unclassified,18,1,2026,2026.txt
know,Unclassified,18,1,2026,2026.txt
Agnes,Unclassified,17,1,2026,2026.txt
bubble,Unclassified,17,1,2026,2026.txt
dont,Unclassified,16,1,2026,2026.txt
Yip,Unclassified,16,1,2026,2026.txt
really,Unclassified,15,1,2026,2026.txt
travel,Unclassified,15,1,2026,2026.txt
event,Unclassified,14,1,2026,2026.txt
need,Unclassified,13,1,2026,2026.txt
coffee,Unclassified,12,1,2026,2026.txt
Ive,Unclassified,12,1,2026,2026.txt
videos,Unclassified,12,1,2026,2026.txt
drink,Unclassified,11,1,2026,2026.txt
Khan,Unclassified,11,1,2026,2026.txt
Librarian,Unclassified,11,1,2026,2026.txt
library,Unclassified,11,1,2026,2026.txt
Chan,Unclassified,10,1,2026,2026.txt
March,Unclassified,10,1,2026,2026.txt
Meera,Unclassified,10,1,2026,2026.txt
think,Unclassified,10,1,2026,2026.txt
Thomas,Unclassified,10,1,2026,2026.txt
Tom,Unclassified,10,1,2026,2026.txt
aibookpioneer,Unclassified,9,1,2026,2026.txt
Bangkok,Unclassified,9,1,2026,2026.txt
channel,Unclassified,9,1,2026,2026.txt
PPC,Unclassified,9,1,2026,2026.txt
Travel,Unclassified,9,1,2026,2026.txt
video,Unclassified,9,1,2026,2026.txt
book,Unclassified,8,1,2026,2026.txt
got,Unclassified,8,1,2026,2026.txt
help,Unclassified,8,1,2026,2026.txt
home,Unclassified,8,1,2026,2026.txt
time,Unclassified,8,1,2026,2026.txt
whole,Unclassified,8,1,2026,2026.txt
year,Unclassified,8,1,2026,2026.txt
best,Unclassified,7,1,2026,2026.txt
books,Unclassified,7,1,2026,2026.txt
comments,Unclassified,7,1,2026,2026.txt
everything,Unclassified,7,1,2026,2026.txt
feel,Unclassified,7,1,2026,2026.txt
find,Unclassified,7,1,2026,2026.txt
great,Unclassified,7,1,2026,2026.txt
Katy,Unclassified,7,1,2026,2026.txt
myself,Unclassified,7,1,2026,2026.txt
said,Unclassified,7,1,2026,2026.txt
Adelaide,Unclassified,6,1,2026,2026.txt
definitely,Unclassified,6,1,2026,2026.txt
Email,Unclassified,6,1,2026,2026.txt
hand,Unclassified,6,1,2026,2026.txt
Harbour,Unclassified,6,1,2026,2026.txt
LCSD,Unclassified,6,1,2026,2026.txt
look,Unclassified,6,1,2026,2026.txt
moths,Unclassified,6,1,2026,2026.txt
seeing,Unclassified,6,1,2026,2026.txt
situation,Unclassified,6,1,2026,2026.txt
social,Unclassified,6,1,2026,2026.txt
Starbucks,Unclassified,6,1,2026,2026.txt
Victoria,Unclassified,6,1,2026,2026.txt
way,Unclassified,6,1,2026,2026.txt
world,Unclassified,6,1,2026,2026.txt
anything,Unclassified,5,1,2026,2026.txt
audience,Unclassified,5,1,2026,2026.txt
bit,Unclassified,5,1,2026,2026.txt
carpet,Unclassified,5,1,2026,2026.txt
Dear,Unclassified,5,1,2026,2026.txt
didnt,Unclassified,5,1,2026,2026.txt
even,Unclassified,5,1,2026,2026.txt
every,Unclassified,5,1,2026,2026.txt
good,Unclassified,5,1,2026,2026.txt
hear,Unclassified,5,1,2026,2026.txt
Huang,Unclassified,5,1,2026,2026.txt
last,Unclassified,5,1,2026,2026.txt
least,Unclassified,5,1,2026,2026.txt
librarians,Unclassified,5,1,2026,2026.txt
little,Unclassified,5,1,2026,2026.txt
living,Unclassified,5,1,2026,2026.txt
love,Unclassified,5,1,2026,2026.txt
media,Unclassified,5,1,2026,2026.txt
meeting,Unclassified,5,1,2026,2026.txt
narrativetravel,Unclassified,5,1,2026,2026.txt
Nico,Unclassified,5,1,2026,2026.txt
pearls,Unclassified,5,1,2026,2026.txt
recording,Unclassified,5,1,2026,2026.txt
right,Unclassified,5,1,2026,2026.txt
staff,Unclassified,5,1,2026,2026.txt
started,Unclassified,5,1,2026,2026.txt
stay,Unclassified,5,1,2026,2026.txt
stores,Unclassified,5,1,2026,2026.txt
Thanks,Unclassified,5,1,2026,2026.txt
things,Unclassified,5,1,2026,2026.txt
try,Unclassified,5,1,2026,2026.txt
