word,cefr,frequency,existing_sentence_count
café,A1,19,0
twice,A1,4,0
umbrella,A1,6,0
university,A1,12,0
useful,A1,15,0
vacation,A1,1,0
vegetable,A1,8,0
Victoria Harbour,A1,,0
video,A1,61,0
village,A1,19,0
visit,A1,23,0
visitor,A1,20,0
wake,A1,3,0
walk along,A1,,0
Wan Chai,A1,,0
warmer,A1,2,0
wear,A1,11,0
weather,A1,14,0
website,A1,51,0
Wednesday,A1,,0
west,A1,3,0
West Kowloon Cultural District,A1,,0
Whampoa,A1,,0
white,A1,1,0
wife,A1,3,0
window,A1,6,0
wine,A1,3,0
winter,A1,6,0
without,A1,37,0
wonderful,A1,10,0
worker,A1,13,0
worksheet,A1,2,0
would,A1,1,0
writer,A1,16,0
years,A1,1,0
yellow,A1,3,0
yes,A1,53,0
zoo,A1,2,0
