word,cefr
ability,A2
able,A2
abroad,A2
accept,A2
accident,A2
achieve,A2
active,A2
actually,A2
advantage,A2
adventure,A2
advertise,A2
advertisement,A2
affect,A2
afterward,A2
airline,A2
alive,A2
allow,A2
alone,A2
along,A2
although,A2
among,A2
ancient,A2
ankle,A2
anybody,A2
anymore,A2
anyway,A2
anywhere,A2
app,A2
appearance,A2
apply,A2
architect,A2
architecture,A2
argue,A2
argument,A2
army,A2
arrange,A2
arrangement,A2
asian,A2
asleep,A2
assistant,A2
astronaut,A2
athlete,A2
attack,A2
attend,A2
attention,A2
attractive,A2
audience,A2
author,A2
available,A2
avoid,A2
awful,A2
background,A2
badly,A2
barbeque,A2
basketball,A2
beef,A2
beginner,A2
behave,A2
behaviour,A2
belong,A2
biology,A2
blood,A2
blueberry,A2
boil,A2
bone,A2
borrow,A2
boss,A2
brain,A2
bright,A2
brilliant,A2
british,A2
brush,A2
calendar,A2
camp,A2
candy,A2
careful,A2
carpet,A2
case,A2
cash,A2
castle,A2
cause,A2
celebrate,A2
celebrity,A2
center,A2
certain,A2
chance,A2
character,A2
charity,A2
chat,A2
check,A2
chef,A2
chess,A2
chilli,A2
choice,A2
cigarette,A2
circle,A2
classical,A2
classmate,A2
cleaner,A2
clearest,A2
clearly,A2
clever,A2
climate,A2
cloud,A2
code,A2
colleague,A2
collect,A2
comfortable,A2
communicate,A2
community,A2
compete,A2
competition,A2
complain,A2
completely,A2
condition,A2
conference,A2
congratulation,A2
connect,A2
contain,A2
context,A2
control,A2
cook,A2
cooks,A2
copy,A2
corner,A2
correctly,A2
couch,A2
couple,A2
crazy,A2
creative,A2
crime,A2
cross,A2
crowd,A2
cupboard,A2
cupcake,A2
curl,A2
danger,A2
dark,A2
darker,A2
data,A2
dead,A2
dear,A2
death,A2
decision,A2
deeper,A2
deepest,A2
degree,A2
department,A2
depend,A2
designer,A2
destroy,A2
develop,A2
device,A2
diary,A2
digital,A2
diploma,A2
direction,A2
director,A2
disagree,A2
disappear,A2
disaster,A2
discover,A2
discovery,A2
discussion,A2
disease,A2
distance,A2
download,A2
downstairs,A2
dragon,A2
drama,A2
drawing,A2
dream,A2
drive,A2
drug,A2
dry,A2
earth,A2
easily,A2
education,A2
effect,A2
eighth,A2
electric,A2
electrical,A2
electricity,A2
electronic,A2
emoji,A2
employ,A2
employee,A2
employer,A2
energy,A2
engine,A2
engineer,A2
enormous,A2
enter,A2
environment,A2
equipment,A2
error,A2
especially,A2
essay,A2
everyday,A2
everywhere,A2
evidence,A2
exact,A2
exactly,A2
excellent,A2
exist,A2
expert,A2
explanation,A2
express,A2
expression,A2
extremely,A2
factor,A2
factory,A2
fail,A2
fair,A2
fan,A2
farm,A2
fashion,A2
female,A2
fiction,A2
field,A2
fight,A2
film,A2
final,A2
finally,A2
finger,A2
finish,A2
firstly,A2
flat,A2
flu,A2
fly,A2
focus,A2
foreign,A2
forest,A2
fork,A2
formal,A2
fortunately,A2
french,A2
fresh,A2
fridge,A2
friendliest,A2
frog,A2
fun,A2
furniture,A2
gallery,A2
gamer,A2
gap,A2
gas,A2
gate,A2
general,A2
gift,A2
goal,A2
god,A2
gold,A2
government,A2
grammar,A2
grandchild,A2
granddaughter,A2
grandpa,A2
grandson,A2
granny,A2
greatest,A2
greet,A2
ground,A2
guest,A2
guide,A2
guidebook,A2
habit,A2
half,A2
hall,A2
handbook,A2
happily,A2
harder,A2
hardest,A2
headache,A2
healthier,A2
healthiest,A2
heart,A2
heat,A2
heavy,A2
height,A2
helpful,A2
hero,A2
hide,A2
highest,A2
hit,A2
hole,A2
honey,A2
hongkongers,A2
hotline,A2
hotter,A2
housewife,A2
huge,A2
hunter,A2
identify,A2
