word,cefr,frequency,sentence_count
undertake,B2,2,0
underwater,B2,1,0
uneasy,B2,1,0
unexpected,B2,3,0
unfairly,B2,2,0
unfinished,B2,2,0
unfortunate,B2,1,0
unhappiness,B2,1,0
unique,B2,10,0
uniquely,B2,1,0
unite,B2,1,0
universal,B2,2,0
universe,B2,1,0
unlicensed,B2,2,0
unman,B2,1,0
unmask,B2,1,0
unmasked,B2,1,0
unplug,B2,2,0
unpopular,B2,1,0
unrealistic,B2,2,0
unreasonable,B2,1,0
unstable,B2,1,0
unsurprising,B2,1,0
upbringing,B2,1,0
upright,B2,2,0
upside,B2,1,0
urban,B2,10,0
urge,B2,4,0
urgent,B2,2,0
usage,B2,1,0
valid,B2,2,0
valuation,B2,1,0
value,B2,8,0
variation,B2,2,0
vary,B2,3,0
vast,B2,4,0
vend,B2,2,0
vendor,B2,5,0
venue,B2,22,0
vertical,B2,1,0
veterinary,B2,10,0
via,B2,4,0
vietnamese,B2,1,0
viewpoint,B2,1,0
violence,B2,1,0
viral,B2,4,0
virtual,B2,41,0
virtually,B2,3,0
visible,B2,5,0
vision,B2,5,0
visual,B2,3,0
visually,B2,8,0
visuals,B2,3,0
vital,B2,4,0
vitamin,B2,1,0
volume,B2,2,0
voluntary,B2,2,0
voucher,B2,1,0
wage,B2,1,0
wages,B2,1,0
warmth,B2,2,0
wasp,B2,5,0
wastepaper,B2,1,0
waterfront,B2,1,0
weakness,B2,1,0
wealthier,B2,1,0
wealthy,B2,4,0
weird,B2,3,0
weirder,B2,1,0
welfare,B2,1,0
wellness,B2,7,0
whereas,B2,5,0
whisky,B2,1,0
whisper,B2,2,0
widely,B2,5,0
widespread,B2,6,0
wildlife,B2,6,0
wildly,B2,1,0
wind,B2,13,0
windsock,B2,1,0
wire,B2,2,0
wisdom,B2,3,0
wise,B2,2,0
withdraw,B2,3,0
witness,B2,5,0
witty,B2,1,0
wolf,B2,1,0
woody,B2,1,0
workforce,B2,3,0
workplace,B2,4,0
workshop,B2,8,0
workweek,B2,1,0
worse,B2,9,0
worst,B2,2,0
worth,B2,11,0
wound,B2,2,0
wrap,B2,7,0
wrist,B2,2,0
wrongness,B2,1,0
yacht,B2,6,0
zip,B2,1,0
zipline,B2,2,0
zone,B2,1,0
