Word,CEFR_Level,Frequency
across,A1,17
action,A1,15
activity,A1,56
actor,A1,3
actress,A1,2
add,A1,33
adjacent to,A1,
Admiralty,A1,
advice,A1,19
afraid,A1,9
agree,A1,72
air,A1,15
airport,A1,8
angry,A1,4
anyone,A1,10
apartment,A1,4
apple,A1,1
April,A1,
around,A1,82
arrive,A1,16
art,A1,7
article,A1,71
artist,A1,17
AsiaWorld-Expo,A1,
August,A1,
Austin,A1,
Australia,A1,
autumn,A1,1
away,A1,32
ball,A1,1
band,A1,19
bath,A1,1
bathroom,A1,2
beach,A1,12
bed,A1,2
bedroom,A1,3
beer,A1,1
behind,A1,20
behind,A1,
between,A1,
bicycle,A1,1
bird,A1,10
birthday,A1,3
black,A1,7
blog,A1,14
blue,A1,3
boat,A1,3
body,A1,20
bottle,A1,2
bottom,A1,
box,A1,5
boyfriend,A1,1
bread,A1,1
break,A1,23
breakfast,A1,6
brown,A1,1
business,A1,56
busy,A1,6
butter,A1,1
café,A1,19
cake,A1,1
camera,A1,10
Canada,A1,
capital,A1,3
career,A1,20
carry,A1,17
Causeway Bay,A1,
Causeway Bay,A1,
Central,A1,
century,A1,8
Che Kung Temple,A1,
cheaper,A1,2
cheapest,A1,2
cheese,A1,2
Chek Lap Kok,A1,
chicken,A1,6
China,A1,
cinema,A1,9
class,A1,26
classroom,A1,8
cleverest,A1,1
club,A1,2
coat,A1,1
coffee,A1,3
college,A1,8
colour,A1,9
common,A1,10
company,A1,68
compare,A1,9
conversation,A1,4
corner,A1,
correct,A1,5
corridor,A1,
cost,A1,31
course,A1,62
cousin,A1,3
cow,A1,1
Croatia,A1,
cross,A1,
culture,A1,35
cup,A1,1
customer,A1,35
Cyberport,A1,
dance,A1,10
dancer,A1,3
dangerous,A1,11
December,A1,
decide,A1,48
describe,A1,20
description,A1,5
design,A1,36
desk,A1,17
Diamond Hill,A1,
dictionary,A1,2
diet,A1,2
difference,A1,8
different,A1,65
dinner,A1,3
discuss,A1,20
dish,A1,5
draw,A1,16
dress,A1,5
drink,A1,3
ear,A1,2
easier,A1,4
elephant,A1,1
else,A1,11
email,A1,121
enjoy,A1,39
event,A1,79
every,A1,43
everybody,A1,5
everyone,A1,30
exam,A1,4
exercise,A1,11
Exhibition Centre,A1,
expensive,A1,13
explain,A1,50
fact,A1,35
famous,A1,21
fantastic,A1,7
farmer,A1,10
faster,A1,1
favourite,A1,9
February,A1,
festival,A1,2
flight,A1,4
floor,A1,5
flower,A1,1
foot,A1,5
football,A1,3
forget,A1,19
form,A1,29
Fortress Point,A1,
France,A1,
Friday,A1,
friendly,A1,4
fruit,A1,2
funny,A1,3
garden,A1,6
Germany,A1,
girlfriend,A1,2
glass,A1,21
go past,A1,
go straight ahead,A1,
goodbye,A1,1
grandfather,A1,1
grandmother,A1,2
grandparent,A1,4
great,A1,1
green,A1,19
grey,A1,4
group,A1,53
guess,A1,13
guitar,A1,1
hair,A1,7
happier,A1,5
hat,A1,4
health,A1,14
healthy,A1,12
help,A1,1
hike,A1,1
history,A1,20
hobby,A1,3
holiday,A1,12
homework,A1,3
Hong Kong,A1,
horse,A1,9
hospital,A1,10
